,action,time,class,examples,function,text,lfs,num_lfs,data,f1,precision,recall,training_label_coverage,training_label_size,label,lf_ids,lf_id,accuracy,micro_f1,precision_0,precision_1,recall_0,recall_1,dirname,time_delta,tool,task,participant,dataset,num_concepts,NER,annotations,id,index,time_first_seen,concept,len,time_submitted,suggested_lf_ids,class_0_ratio,expected_class_0_ratio,num_deleted,mistakes,condition
0,heldout_test_stats,2020-05-20 01:24:01.389810,,,,,,0.0,heldout,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
0,stats,2020-05-20 01:24:01.389810,,,,,,0.0,dev,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
0,heldout_test_LR_stats,2020-05-20 01:24:01.389810,,,,,,0.0,heldout,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
0,train_model,2020-05-20 01:24:01.389810,,,,,,0.0,test,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
0,load_data,2020-05-20 01:24:01.389810,,,,,,0.0,,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
1,show_examples,2020-05-20 01:24:10.167213,0.0,"     label  \
87   0       
208  0       
124  0       
143  0       
32   0       

                                                                                 text  
87   GREAT!!!﻿                                                                         
208  P E A C E  &amp;  L O V E  ! !﻿                                                   
124  This song is just insane.<br />Do you dance listening to this song?( i do, lol)﻿  
143  ....I stil lisening this :)﻿                                                      
32   one of the BEST SONGS in music history﻿                                           ",,,,0.0,,,,,0.0,,,,,,,,,,,,0.14629005,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
2,show_examples,2020-05-20 01:24:10.181787,1.0,"     label  \
303  1       
157  1       
117  1       
187  1       
374  1       

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       text  
303  im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿  
157  Follow me on Twitter @mscalifornia95﻿                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
117  yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i&39;m a rapper with a dream. I know there&39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
187  I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
374  Check out this video on YouTube:it is a old track but it still bad﻿                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",,,,0.0,,,,,0.0,,,,,,,,,,,,0.14653295,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
3,test_function,2020-05-20 01:24:22.442214,,,lf0,your text here,,0.0,,,,,0.0,,,,,,,,,,,,0.3508734,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
4,submit_lfs,2020-05-20 01:24:35.409327,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: []]",3.0,,,,,0.0,,,,,,,,,,,,0.56699195,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
5,stats,2020-05-20 01:24:39.103239,,,,,,3.0,dev,0.5517241379310345,0.5384615384615384,0.5656565656565656,0.0,0.0,,,,,,,,,,,0.62855715,Snorkel,spam,p0,youtube,,,,,,,,,,,,,,,snorkel
